location,lon,lat,population,ID,ID_Gem,Ai_walk_correct,Ai_walk_optimum,Ai_z_norm_correct,Ai_z_norm_optimized
297,8.553623,47.31629,49,13501006,135,4.5578734798368e-4,7.0439929635134e-4,6.132683016857008e-4,6.711266778276288e-4
298,8.553642,47.31719,14,13501006,135,5.2613183763961e-4,5.9996110607337e-4,6.132683016857008e-4,6.711266778276288e-4
299,8.554344,47.28749,4,14101003,141,0,2.345988854317e-4,8.86971276594094e-4,6.624367989290904e-4
300,8.5544,47.29019,18,14101003,141,0,0,8.86971276594094e-4,6.624367989290904e-4
301,8.554419,47.29109,43,14101003,141,7.7000939416794e-4,5.0045951503876e-4,8.86971276594094e-4,6.624367989290904e-4
302,8.554438,47.29199,41,14101003,141,7.397494539025e-4,5.2307910196815e-4,8.86971276594094e-4,6.624367989290904e-4
303,8.554456,47.29289,25,14101003,141,9.6459815262798e-4,3.8221444121126e-4,8.86971276594094e-4,6.624367989290904e-4
304,8.554475,47.29379,45,14101003,141,0.00118775787861934,7.0101826730064e-4,8.86971276594094e-4,6.624367989290904e-4
305,8.554494,47.29469,19,14101003,141,0.00121879306481955,8.4409054902144e-4,8.86971276594094e-4,6.624367989290904e-4
306,8.554513,47.29559,28,14101003,141,0.00104361045798575,7.3409298529757e-4,8.86971276594094e-4,6.624367989290904e-4
307,8.554532,47.29649,37,14101003,141,0.00120983720323644,8.6684196969249e-4,8.86971276594094e-4,6.624367989290904e-4
308,8.55455,47.29739,40,14101004,141,0.00145865901020876,9.380351124911e-4,0.0024585035933824026,0.001253411798256908
309,8.554569,47.29829,37,14101004,141,0.00194354217640036,0.00100999512881336,0.0024585035933824026,0.001253411798256908
310,8.554588,47.29919,27,14101004,141,0.00177664315900126,9.6787536961961e-4,0.0024585035933824026,0.001253411798256908
311,8.554607,47.30009,50,14101004,141,0.00169885018361303,0.00120431099262214,0.0024585035933824026,0.001253411798256908
312,8.554626,47.30099,52,13901003,139,0.00143605481281052,0.00115824320004289,9.221442474174417e-4,0.0010987616940906317
313,8.554644,47.30188,58,13901003,139,0.00100699960063811,0.00127984002584278,9.221442474174417e-4,0.0010987616940906317
314,8.554663,47.30278,39,13901003,139,0.00101758716347066,0.00125787313084532,9.221442474174417e-4,0.0010987616940906317
315,8.554682,47.30368,48,13901003,139,9.4946831295965e-4,0.00127531202504757,9.221442474174417e-4,0.0010987616940906317
316,8.554701,47.30458,94,13901003,139,9.7365444919209e-4,0.00110209300380375,9.221442474174417e-4,0.0010987616940906317
317,8.55472,47.30548,46,13901003,139,0.00101604316175481,0.00123874500613083,9.221442474174417e-4,0.0010987616940906317
318,8.554738,47.30638,12,13901003,139,7.7143179724357e-4,0.00120977282665312,9.221442474174417e-4,0.0010987616940906317
319,8.554757,47.30728,20,13901003,139,7.7423297183319e-4,0.00101558618599043,9.221442474174417e-4,0.0010987616940906317
320,8.554776,47.30818,13,13901005,139,7.6911817130275e-4,0.00101937450164092,0.0012693328279513557,9.749546958422019e-4
321,8.554795,47.30908,70,13901004,139,7.6538569997914e-4,0.00100858379489352,5.865734979227179e-4,9.185209285128581e-4
322,8.554814,47.30998,78,13901004,139,7.3700362822923e-4,9.4339651164689e-4,5.865734979227179e-4,9.185209285128581e-4
323,8.554833,47.31088,31,13901004,139,6.9392817587903e-4,8.6254501975267e-4,5.865734979227179e-4,9.185209285128581e-4
